var,type,low,high,err
r,flt,1.192092895507812500000000000000e-07,2.384185791015624735302203983031e-07,4.440892101147604752952939408761e-14
r,flt,2.384185791015625000000000000000e-07,4.768371582031249470604407966062e-07,4.440892103794582713122627968350e-14
r,flt,4.768371582031250000000000000000e-07,9.536743164062498941208815932125e-07,4.440892109088538633462005087527e-14
r,flt,9.536743164062500000000000000000e-07,1.907348632812499788241763186425e-06,4.440892119676450474140759325881e-14
r,flt,1.907348632812500000000000000000e-06,3.814697265624999576483526372850e-06,4.440892140852274155498267802589e-14
r,flt,3.814697265625000000000000000000e-06,7.629394531249999152967052745700e-06,4.440892183203921518213284756005e-14
r,flt,7.629394531250000000000000000000e-06,1.525878906249999830593410549140e-05,4.440892267907216243643318662837e-14
r,flt,1.525878906250000000000000000000e-05,3.051757812499999661186821098280e-05,4.440892437313805694503386476502e-14
r,flt,3.051757812500000000000000000000e-05,6.103515624999999322373642196560e-05,4.440892776126984596223522103831e-14
r,flt,6.103515625000000000000000000000e-05,1.220703124999999864474728439312e-04,4.440893453753342399663793358489e-14
r,flt,1.220703125000000000000000000000e-04,2.441406249999999728949456878624e-04,4.440894809006058006544335867805e-14
r,flt,2.441406250000000000000000000000e-04,4.882812499999999457898913757248e-04,4.440897519511489220305420886437e-14
r,flt,4.882812500000000000000000000000e-04,9.765624999999998915797827514496e-04,4.440902940522351647827590923701e-14
r,flt,9.765625000000000000000000000000e-04,1.953124999999999783159565502899e-03,4.440913782544076502871930998229e-14
r,flt,1.953125000000000000000000000000e-03,3.906249999999999566319131005798e-03,4.440935466587526212960611147285e-14
r,flt,3.906250000000000000000000000000e-03,7.812499999999999132638262011596e-03,4.440978834674425633137971445397e-14
r,flt,7.812500000000000000000000000000e-03,1.562499999999999826527652402319e-02,4.441065570848224473492692041621e-14
r,flt,1.562500000000000000000000000000e-02,3.124999999999999653055304804639e-02,4.441239043195822154202133234069e-14
r,flt,3.125000000000000000000000000000e-02,6.249999999999999306110609609277e-02,4.441585987891017515621015618965e-14
r,flt,6.250000000000000000000000000000e-02,1.249999999999999861222121921855e-01,4.442279877281408238458780388758e-14
r,flt,1.250000000000000000000000000000e-01,2.499999999999999722444243843711e-01,4.443667656062189684134309928343e-14
r,flt,2.500000000000000000000000000000e-01,4.999999999999999444888487687422e-01,4.446443213623752575485369007513e-14
