var,type,low,high,err
z,flt,-2.910383045673370038210698221474e-11,-1.455191522836685180664062500000e-11,4.440892098503857335962311936718e-15
z,flt,2.910383045673370361328125000000e-11,5.820766091346740076421396442947e-11,4.440892098507088510230097201073e-15
z,flt,-5.820766091346740076421396442947e-11,-2.910383045673370361328125000000e-11,4.440892098507088510230097201073e-15
z,flt,5.820766091346740722656250000000e-11,1.164153218269348015284279288589e-10,4.440892098513550858765667729783e-15
z,flt,-1.164153218269348015284279288589e-10,-5.820766091346740722656250000000e-11,4.440892098513550858765667729783e-15
z,flt,1.164153218269348144531250000000e-10,2.328306436538696030568558577179e-10,4.440892098526475555836808787203e-15
z,flt,-2.328306436538696030568558577179e-10,-1.164153218269348144531250000000e-10,4.440892098526475555836808787203e-15
z,flt,2.328306436538696289062500000000e-10,4.656612873077392061137117154358e-10,4.440892098552324949979090902043e-15
z,flt,-4.656612873077392061137117154358e-10,-2.328306436538696289062500000000e-10,4.440892098552324949979090902043e-15
z,flt,4.656612873077392578125000000000e-10,9.313225746154784122274234308715e-10,4.440892098604023738263655131722e-15
z,flt,-9.313225746154784122274234308715e-10,-4.656612873077392578125000000000e-10,4.440892098604023738263655131722e-15
z,flt,9.313225746154785156250000000000e-10,1.862645149230956824454846861743e-09,4.440892098707421314832783591081e-15
z,flt,-1.862645149230956824454846861743e-09,-9.313225746154785156250000000000e-10,4.440892098707421314832783591081e-15
z,flt,1.862645149230957031250000000000e-09,3.725290298461913648909693723486e-09,4.440892098914216467971040509799e-15
z,flt,-3.725290298461913648909693723486e-09,-1.862645149230957031250000000000e-09,4.440892098914216467971040509799e-15
z,flt,3.725290298461914062500000000000e-09,7.450580596923827297819387446972e-09,4.440892099327806774247554347235e-15
z,flt,-7.450580596923827297819387446972e-09,-3.725290298461914062500000000000e-09,4.440892099327806774247554347235e-15
z,flt,7.450580596923828125000000000000e-09,1.490116119384765459563877489394e-08,4.440892100154987386800582022106e-15
z,flt,-1.490116119384765459563877489394e-08,-7.450580596923828125000000000000e-09,4.440892100154987386800582022106e-15
