var,type,low,high,err
a,flt,1.000000000000000000000000000000e+00,1.000000000000000000000000000000e+02,9.900000000000000000000000000000e+01

b,flt,1.000000000000000000000000000000e+00,1.000000000000000000000000000000e+02,9.900000000000000000000000000000e+01

r,flt,9.950000000000000000000000000000e+01,1.279999999999999857891452847980e+02,2.265000000000000000000000000000e+02
r,flt,1.280000000000000000000000000000e+02,2.000000000000000000000000000000e+02,2.985000000000000000000000000000e+02
r,flt,-9.850000000000000000000000000000e+01,9.950000000000000000000000000000e+01,2.985000000000000000000000000000e+02

