var,type,low,high,err
z,flt,7.275957614183425903320312500000e-12,1.455191522836685019105349110737e-11,1.776356839401866051811703301123e-15
z,flt,-1.455191522836685019105349110737e-11,-7.275957614183425903320312500000e-12,1.776356839401866051811703301123e-15
z,flt,1.455191522836685180664062500000e-11,2.910383045673370038210698221474e-11,1.776356839403481638945595933300e-15
z,flt,-2.910383045673370038210698221474e-11,-1.455191522836685180664062500000e-11,1.776356839403481638945595933300e-15
z,flt,2.910383045673370361328125000000e-11,5.820766091346740076421396442947e-11,1.776356839406712813213381197655e-15
z,flt,-5.820766091346740076421396442947e-11,-2.910383045673370361328125000000e-11,1.776356839406712813213381197655e-15
z,flt,5.820766091346740722656250000000e-11,1.164153218269348015284279288589e-10,1.776356839413175161748951726365e-15
z,flt,-1.164153218269348015284279288589e-10,-5.820766091346740722656250000000e-11,1.776356839413175161748951726365e-15
z,flt,1.164153218269348144531250000000e-10,2.328306436538696030568558577179e-10,1.776356839426099858820092783785e-15
z,flt,-2.328306436538696030568558577179e-10,-1.164153218269348144531250000000e-10,1.776356839426099858820092783785e-15
z,flt,2.328306436538696289062500000000e-10,4.656612873077392061137117154358e-10,1.776356839451949252962374898625e-15
z,flt,-4.656612873077392061137117154358e-10,-2.328306436538696289062500000000e-10,1.776356839451949252962374898625e-15
z,flt,4.656612873077392578125000000000e-10,9.313225746154784122274234308715e-10,1.776356839503648041246939128304e-15
z,flt,-9.313225746154784122274234308715e-10,-4.656612873077392578125000000000e-10,1.776356839503648041246939128304e-15
z,flt,9.313225746154785156250000000000e-10,1.862645149230956824454846861743e-09,1.776356839607045617816067587663e-15
z,flt,-1.862645149230956824454846861743e-09,-9.313225746154785156250000000000e-10,1.776356839607045617816067587663e-15
z,flt,1.862645149230957031250000000000e-09,3.725290298461913648909693723486e-09,1.776356839813840770954324506381e-15
z,flt,-3.725290298461913648909693723486e-09,-1.862645149230957031250000000000e-09,1.776356839813840770954324506381e-15
z,flt,3.725290298461914062500000000000e-09,7.450580596923827297819387446972e-09,1.776356840227431077230838343817e-15
z,flt,-7.450580596923827297819387446972e-09,-3.725290298461914062500000000000e-09,1.776356840227431077230838343817e-15
z,flt,7.450580596923828125000000000000e-09,1.490116119384765459563877489394e-08,1.776356841054611689783866018688e-15
z,flt,-1.490116119384765459563877489394e-08,-7.450580596923828125000000000000e-09,1.776356841054611689783866018688e-15
z,flt,1.490116119384765625000000000000e-08,2.980232238769530919127754978789e-08,1.776356842708972914889921368431e-15
z,flt,-2.980232238769530919127754978789e-08,-1.490116119384765625000000000000e-08,1.776356842708972914889921368431e-15
z,flt,2.980232238769531250000000000000e-08,5.960464477539061838255509957578e-08,1.776356846017695365102032067917e-15
z,flt,-5.960464477539061838255509957578e-08,-2.980232238769531250000000000000e-08,1.776356846017695365102032067917e-15
z,flt,5.960464477539062500000000000000e-08,1.192092895507812367651101991516e-07,1.776356852635140265526253466888e-15
z,flt,-1.192092895507812367651101991516e-07,-5.960464477539062500000000000000e-08,1.776356852635140265526253466888e-15
z,flt,1.192092895507812500000000000000e-07,2.384185791015624735302203983031e-07,1.776356865870030066374696264830e-15
z,flt,-2.384185791015624735302203983031e-07,-1.192092895507812500000000000000e-07,1.776356865870030066374696264830e-15
z,flt,2.384185791015625000000000000000e-07,4.768371582031249470604407966062e-07,1.776356892339809668071581860715e-15
z,flt,-4.768371582031249470604407966062e-07,-2.384185791015625000000000000000e-07,1.776356892339809668071581860715e-15
z,flt,4.768371582031250000000000000000e-07,9.536743164062498941208815932125e-07,1.776356945279368871465353052486e-15
z,flt,-9.536743164062498941208815932125e-07,-4.768371582031250000000000000000e-07,1.776356945279368871465353052486e-15
z,flt,9.536743164062500000000000000000e-07,1.907348632812499788241763186425e-06,1.776357051158487278252895436026e-15
z,flt,-1.907348632812499788241763186425e-06,-9.536743164062500000000000000000e-07,1.776357051158487278252895436026e-15
z,flt,1.907348632812500000000000000000e-06,3.814697265624999576483526372850e-06,1.776357262916724091827980203107e-15
z,flt,-3.814697265624999576483526372850e-06,-1.907348632812500000000000000000e-06,1.776357262916724091827980203107e-15
z,flt,3.814697265625000000000000000000e-06,7.629394531249999152967052745700e-06,1.776357686433197718978149737268e-15
z,flt,-7.629394531249999152967052745700e-06,-3.814697265625000000000000000000e-06,1.776357686433197718978149737268e-15
z,flt,7.629394531250000000000000000000e-06,1.525878906249999830593410549140e-05,1.776358533466144973278488805590e-15
z,flt,-1.525878906249999830593410549140e-05,-7.629394531250000000000000000000e-06,1.776358533466144973278488805590e-15
z,flt,1.525878906250000000000000000000e-05,3.051757812499999661186821098280e-05,1.776360227532039481879166942235e-15
z,flt,-3.051757812499999661186821098280e-05,-1.525878906250000000000000000000e-05,1.776360227532039481879166942235e-15
z,flt,3.051757812500000000000000000000e-05,6.103515624999999322373642196560e-05,1.776363615663828499080523215525e-15
z,flt,-6.103515624999999322373642196560e-05,-3.051757812500000000000000000000e-05,1.776363615663828499080523215525e-15
z,flt,6.103515625000000000000000000000e-05,1.220703124999999864474728439312e-04,1.776370391927406533483235762105e-15
z,flt,-1.220703124999999864474728439312e-04,-6.103515625000000000000000000000e-05,1.776370391927406533483235762105e-15
z,flt,1.220703125000000000000000000000e-04,2.441406249999999728949456878624e-04,1.776383944454562602288660855265e-15
z,flt,-2.441406249999999728949456878624e-04,-1.220703125000000000000000000000e-04,1.776383944454562602288660855265e-15
z,flt,2.441406250000000000000000000000e-04,4.882812499999999457898913757248e-04,1.776411049508874739899511041585e-15
z,flt,-4.882812499999999457898913757248e-04,-2.441406250000000000000000000000e-04,1.776411049508874739899511041585e-15
z,flt,4.882812500000000000000000000000e-04,9.765624999999998915797827514496e-04,1.776465259617499015121211414225e-15
z,flt,-9.765624999999998915797827514496e-04,-4.882812500000000000000000000000e-04,1.776465259617499015121211414225e-15
z,flt,9.765625000000000000000000000000e-04,1.953124999999999783159565502899e-03,1.776573679834747565564612159505e-15
