var,type,low,high,err
y,flt,4.844262624614388557109379007670e-02,4.844262624615276735529079132903e-02,4.944423812571534587299332509327e-16
y,flt,1.719262624613855650057558932531e-02,1.719262624614388210164683812309e-02,4.944423812571601640476276295331e-16
y,flt,4.844262624613855650057558932531e-02,4.844262624614388557109379007670e-02,4.944423812571601640476276295331e-16
y,flt,1.719262624612078252384073095982e-02,1.719262624613855650057558932531e-02,4.944423812571633194912485135803e-16
y,flt,4.844262624612078599328768291343e-02,4.844262624613855650057558932531e-02,4.944423812571633194912485135803e-16
y,flt,1.719262624611013479114518531787e-02,1.719262624612078252384073095982e-02,4.944423812571768287342504234075e-16
y,flt,4.844262624611013479114518531787e-02,4.844262624612078599328768291343e-02,4.944423812571768287342504234075e-16
y,flt,1.719262624607458683767546858689e-02,1.719262624611013479114518531787e-02,4.944423812571831396214921915019e-16
y,flt,4.844262624607458683767546858689e-02,4.844262624611013479114518531787e-02,4.944423812571831396214921915019e-16
y,flt,1.719262624605329137228437730300e-02,1.719262624607458683767546858689e-02,4.944423812572100594998828585298e-16
y,flt,4.844262624605329137228437730300e-02,4.844262624607458683767546858689e-02,4.944423812572100594998828585298e-16
y,flt,1.719262624598219199589799188743e-02,1.719262624605329137228437730300e-02,4.944423812572226812743663947186e-16
y,flt,4.844262624598219546534494384105e-02,4.844262624605329137228437730300e-02,4.944423812572226812743663947186e-16
y,flt,1.719262624593960453456276127326e-02,1.719262624598219199589799188743e-02,4.944423812572765210311477287744e-16
y,flt,4.844262624593960453456276127326e-02,4.844262624598219546534494384105e-02,4.944423812572765210311477287744e-16
y,flt,1.719262624579740578178999044212e-02,1.719262624593960453456276127326e-02,4.944423812573017645801148011521e-16
y,flt,4.844262624579740578178999044212e-02,4.844262624593960453456276127326e-02,4.944423812573017645801148011521e-16
y,flt,1.719262624571223085911952921379e-02,1.719262624579740578178999044212e-02,4.944423812574095427012906218901e-16
y,flt,4.844262624571223085911952921379e-02,4.844262624579740578178999044212e-02,4.944423812574095427012906218901e-16
y,flt,1.719262624542783335357398755150e-02,1.719262624571223085911952921379e-02,4.944423812574600297992247666456e-16
y,flt,4.844262624542783335357398755150e-02,4.844262624571223085911952921379e-02,4.944423812574600297992247666456e-16
y,flt,1.719262624525748350823306509483e-02,1.719262624542783335357398755150e-02,4.944423812576753888263501028685e-16
y,flt,4.844262624525748350823306509483e-02,4.844262624542783335357398755150e-02,4.944423812576753888263501028685e-16
y,flt,1.719262624468868849714198177026e-02,1.719262624525748350823306509483e-02,4.944423812577763630222183923796e-16
y,flt,4.844262624468868849714198177026e-02,4.844262624525748350823306509483e-02,4.944423812577763630222183923796e-16
y,flt,1.719262624434798880646013685691e-02,1.719262624468868849714198177026e-02,4.944423812582072782916953700783e-16
y,flt,4.844262624434798880646013685691e-02,4.844262624468868849714198177026e-02,4.944423812582072782916953700783e-16
y,flt,1.719262624321039878427797020777e-02,1.719262624434798880646013685691e-02,4.944423812584092266834319491005e-16
y,flt,4.844262624321039878427797020777e-02,4.844262624434798880646013685691e-02,4.944423812584092266834319491005e-16
y,flt,1.719262624252899940291428038108e-02,1.719262624321039878427797020777e-02,4.944423812592710572223859044979e-16
y,flt,4.844262624252899940291428038108e-02,4.844262624321039878427797020777e-02,4.944423812592710572223859044979e-16
y,flt,1.719262624025381935854994708279e-02,1.719262624252899940291428038108e-02,4.944423812596749540058590625422e-16
y,flt,4.844262624025381935854994708279e-02,4.844262624252899940291428038108e-02,4.944423812596749540058590625422e-16
y,flt,1.719262623889102059582256742942e-02,1.719262624025381935854994708279e-02,4.944423812613985164761538207106e-16
y,flt,4.844262623889102059582256742942e-02,4.844262624025381935854994708279e-02,4.944423812613985164761538207106e-16
y,flt,1.719262623434066050709390083284e-02,1.719262623889102059582256742942e-02,4.944423812622063100431001367993e-16
y,flt,4.844262623434066050709390083284e-02,4.844262623889102059582256742942e-02,4.944423812622063100431001367993e-16
y,flt,1.719262623161506298163914152610e-02,1.719262623434066050709390083284e-02,4.944423812656533363760765005096e-16
y,flt,4.844262623161506298163914152610e-02,4.844262623434066050709390083284e-02,4.944423812656533363760765005096e-16
y,flt,1.719262622251434280418180833294e-02,1.719262623161506298163914152610e-02,4.944423812672689235099691326870e-16
y,flt,4.844262622251434280418180833294e-02,4.844262623161506298163914152610e-02,4.944423812672689235099691326870e-16
y,flt,1.719262621706314775327228971946e-02,1.719262622251434280418180833294e-02,4.944423812741631733911481653604e-16
y,flt,4.844262621706314775327228971946e-02,4.844262622251434280418180833294e-02,4.944423812741631733911481653604e-16
y,flt,1.719262619886170739835762333314e-02,1.719262621706314775327228971946e-02,4.944423812773943476589334297154e-16
y,flt,4.844262619886170739835762333314e-02,4.844262621706314775327228971946e-02,4.944423812773943476589334297154e-16
y,flt,1.719262618795931729653858610618e-02,1.719262619886170739835762333314e-02,4.944423812911827488136783424357e-16
y,flt,4.844262618795931729653858610618e-02,4.844262619886170739835762333314e-02,4.944423812911827488136783424357e-16
y,flt,1.719262615155643311726230137992e-02,1.719262618795931729653858610618e-02,4.944423812976450973492488711457e-16
y,flt,4.844262615155643658670925333354e-02,4.844262618795931729653858610618e-02,4.944423812976450973492488711457e-16
y,flt,1.719262612975165638307117887962e-02,1.719262615155643311726230137992e-02,4.944423813252219982663518492128e-16
y,flt,4.844262612975165638307117887962e-02,4.844262615155643658670925333354e-02,4.944423813252219982663518492128e-16
y,flt,1.719262605694588455507165747349e-02,1.719262612975165638307117887962e-02,4.944423813381466953374929066326e-16
y,flt,4.844262605694588802451860942710e-02,4.844262612975165638307117887962e-02,4.944423813381466953374929066326e-16
y,flt,1.719262601333633455613636442649e-02,1.719262605694588455507165747349e-02,4.944423813933003985640857101404e-16
y,flt,4.844262601333633455613636442649e-02,4.844262605694588802451860942710e-02,4.944423813933003985640857101404e-16
y,flt,1.719262586772479090013732161424e-02,1.719262601333633455613636442649e-02,4.944423814191497927063678249801e-16
