var,type,low,high,err
y,flt,-8.881784197001252323389053344727e-16,-8.881784197001251337312921818462e-16,4.646657211166997598340596451492e-16
y,flt,-4.440892098500626161694526672363e-16,-4.440892098500625668656460909231e-16,4.646657211166997598340596451492e-16
y,flt,-2.220446049250313080847263336182e-16,-2.220446049250312834328230454615e-16,4.646657211166997598340596451492e-16
y,flt,-1.110223024625156540423631668091e-16,-1.110223024625156417164115227308e-16,4.646657211166997598340596451492e-16
y,flt,-5.551115123125782702118158340454e-17,-5.551115123125782085820576136539e-17,4.646657211166997598340596451492e-16
y,flt,-2.775557561562891351059079170227e-17,-2.775557561562891042910288068269e-17,4.646657211166997598340596451492e-16
y,flt,-1.387778780781445675529539585114e-17,-1.387778780781445521455144034135e-17,4.646657211166997598340596451492e-16
y,flt,-6.938893903907228377647697925568e-18,-6.938893903907227607275720170673e-18,4.646657211166997598340596451492e-16
y,flt,-3.469446951953614188823848962784e-18,-3.469446951953613803637860085337e-18,4.646657211166997598340596451492e-16
y,flt,-1.734723475976807094411924481392e-18,-1.734723475976806901818930042668e-18,4.646657211166997598340596451492e-16
y,flt,-8.673617379884035472059622406960e-19,-8.673617379884034509094650213342e-19,4.646657211166997598340596451492e-16
y,flt,-4.336808689942017736029811203480e-19,-4.336808689942017254547325106671e-19,4.646657211166997598340596451492e-16
y,flt,-2.168404344971008868014905601740e-19,-2.168404344971008627273662553335e-19,4.646657211166997598340596451492e-16
y,flt,-1.084202172485504434007452800870e-19,-1.084202172485504313636831276668e-19,4.646657211166997598340596451492e-16
y,flt,-5.421010862427522170037264004350e-20,-5.421010862427521568184156383339e-20,4.646657211166997598340596451492e-16
y,flt,-2.710505431213761085018632002175e-20,-2.710505431213760784092078191669e-20,4.646657211166997598340596451492e-16
y,flt,-1.355252715606880542509316001087e-20,-1.355252715606880392046039095835e-20,4.646657211166997598340596451492e-16
y,flt,-6.776263578034402712546580005437e-21,-6.776263578034401960230195479173e-21,4.646657211166997598340596451492e-16
y,flt,-3.388131789017201356273290002719e-21,-3.388131789017200980115097739587e-21,4.646657211166997598340596451492e-16
y,flt,-1.694065894508600678136645001359e-21,-1.694065894508600490057548869793e-21,4.646657211166997598340596451492e-16
y,flt,-8.470329472543003390683225006796e-22,-8.470329472543002450287744348966e-22,4.646657211166997598340596451492e-16
y,flt,-4.235164736271501695341612503398e-22,-4.235164736271501225143872174483e-22,4.646657211166997598340596451492e-16
y,flt,-2.117582368135750847670806251699e-22,-2.117582368135750612571936087242e-22,4.646657211166997598340596451492e-16
y,flt,-1.058791184067875423835403125850e-22,-1.058791184067875306285968043621e-22,4.646657211166997598340596451492e-16
y,flt,-5.293955920339377119177015629248e-23,-5.293955920339376531429840218104e-23,4.646657211166997598340596451492e-16
y,flt,-2.646977960169688559588507814624e-23,-2.646977960169688265714920109052e-23,4.646657211166997598340596451492e-16
y,flt,-1.323488980084844279794253907312e-23,-1.323488980084844132857460054526e-23,4.646657211166997598340596451492e-16
y,flt,-6.617444900424221398971269536560e-24,-6.617444900424220664287300272630e-24,4.646657211166997598340596451492e-16
y,flt,-3.308722450212110699485634768280e-24,-3.308722450212110332143650136315e-24,4.646657211166997598340596451492e-16
y,flt,-1.654361225106055349742817384140e-24,-1.654361225106055166071825068158e-24,4.646657211166997598340596451492e-16
y,flt,-8.271806125530276748714086920700e-25,-8.271806125530275830359125340788e-25,4.646657211166997598340596451492e-16
y,flt,-4.135903062765138374357043460350e-25,-4.135903062765137915179562670394e-25,4.646657211166997598340596451492e-16
y,flt,-2.067951531382569187178521730175e-25,-2.067951531382568957589781335197e-25,4.646657211166997598340596451492e-16
y,flt,-1.033975765691284593589260865087e-25,-1.033975765691284478794890667598e-25,4.646657211166997598340596451492e-16
y,flt,-5.169878828456422967946304325437e-26,-5.169878828456422393974453337992e-26,4.646657211166997598340596451492e-16
y,flt,-2.584939414228211483973152162719e-26,-2.584939414228211196987226668996e-26,4.646657211166997598340596451492e-16
y,flt,-1.292469707114105741986576081359e-26,-1.292469707114105598493613334498e-26,4.646657211166997598340596451492e-16
y,flt,-6.462348535570528709932880406797e-27,-6.462348535570527992468066672490e-27,4.646657211166997598340596451492e-16
y,flt,-3.231174267785264354966440203398e-27,-3.231174267785263996234033336245e-27,4.646657211166997598340596451492e-16
y,flt,-1.615587133892632177483220101699e-27,-1.615587133892631998117016668123e-27,4.646657211166997598340596451492e-16
y,flt,-8.077935669463160887416100508496e-28,-8.077935669463159990585083340613e-28,4.646657211166997598340596451492e-16
y,flt,-4.038967834731580443708050254248e-28,-4.038967834731579995292541670306e-28,4.646657211166997598340596451492e-16
y,flt,-2.019483917365790221854025127124e-28,-2.019483917365789997646270835153e-28,4.646657211166997598340596451492e-16
y,flt,-1.009741958682895110927012563562e-28,-1.009741958682894998823135417577e-28,4.646657211166997598340596451492e-16
y,flt,-5.048709793414475554635062817810e-29,-5.048709793414474994115677087883e-29,4.646657211166997598340596451492e-16
y,flt,-2.524354896707237777317531408905e-29,-2.524354896707237497057838543942e-29,4.646657211166997598340596451492e-16
y,flt,-1.262177448353618888658765704452e-29,-1.262177448353618748528919271971e-29,4.646657211166997598340596451492e-16
y,flt,-6.310887241768094443293828522262e-30,-6.310887241768093742644596359854e-30,4.646657211166997598340596451492e-16
y,flt,-3.155443620884047221646914261131e-30,-3.155443620884046871322298179927e-30,4.646657211166997598340596451492e-16
